Table Number,Table Name,Code,Shortened Description
Table 1.1,Acute Myocardial Infarction (AMI),410.00,"AMI ANTEROLATERAL,UNSPEC"
Table 1.1,Acute Myocardial Infarction (AMI),410.01,"AMI ANTEROLATERAL, INIT"
Table 1.1,Acute Myocardial Infarction (AMI),410.10,"AMI ANTERIOR WALL,UNSPEC"
Table 1.1,Acute Myocardial Infarction (AMI),410.11,"AMI ANTERIOR WALL, INIT"
Table 1.1,Acute Myocardial Infarction (AMI),410.20,"AMI INFEROLATERAL,UNSPEC"
Table 1.1,Acute Myocardial Infarction (AMI),410.21,"AMI INFEROLATERAL, INIT"
Table 1.1,Acute Myocardial Infarction (AMI),410.30,"AMI INFEROPOST, UNSPEC"
Table 1.1,Acute Myocardial Infarction (AMI),410.31,"AMI INFEROPOST, INITIAL"
Table 1.1,Acute Myocardial Infarction (AMI),410.40,"AMI INFERIOR WALL,UNSPEC"
Table 1.1,Acute Myocardial Infarction (AMI),410.41,"AMI INFERIOR WALL, INIT"
Table 1.1,Acute Myocardial Infarction (AMI),410.50,"AMI LATERAL NEC, UNSPEC"
Table 1.1,Acute Myocardial Infarction (AMI),410.51,"AMI LATERAL NEC, INITIAL"
Table 1.1,Acute Myocardial Infarction (AMI),410.60,"TRUE POST INFARCT,UNSPEC"
Table 1.1,Acute Myocardial Infarction (AMI),410.61,"TRUE POST INFARCT, INIT"
Table 1.1,Acute Myocardial Infarction (AMI),410.70,"SUBENDO INFARCT, UNSPEC"
Table 1.1,Acute Myocardial Infarction (AMI),410.71,"SUBENDO INFARCT, INITIAL"
Table 1.1,Acute Myocardial Infarction (AMI),410.80,"AMI NEC, UNSPECIFIED"
Table 1.1,Acute Myocardial Infarction (AMI),410.81,"AMI NEC, INITIAL"
Table 1.1,Acute Myocardial Infarction (AMI),410.90,"AMI NOS, UNSPECIFIED"
Table 1.1,Acute Myocardial Infarction (AMI),410.91,"AMI NOS, INITIAL"
Table 1.2,Percutaneous Coronary Intervention (PCI),00.66,PTCA
Table 2.1,Heart Failure (HF),402.01,MAL HYPERT HRT DIS W HF
Table 2.1,Heart Failure (HF) ,402.11,BENIGN HYP HT DIS W HF
Table 2.1,Heart Failure (HF) ,402.91,HYP HT DIS NOS W HT FAIL
Table 2.1,Heart Failure (HF) ,404.01,MAL HYP HT/KD I-IV W HF
Table 2.1,Heart Failure (HF) ,404.03,MAL HYP HT/KD STG V W HF
Table 2.1,Heart Failure (HF) ,404.11,BEN HYP HT/KD I-IV W HF
Table 2.1,Heart Failure (HF) ,404.13,BEN HYP HT/KD STG V W HF
Table 2.1,Heart Failure (HF) ,404.91,HYP HT/KD NOS I-IV W HF
Table 2.1,Heart Failure (HF) ,404.93,HYP HT/KD NOS ST V W HF
Table 2.1,Heart Failure (HF) ,428.0,CHF NOS
Table 2.1,Heart Failure (HF) ,428.1,LEFT HEART FAILURE
Table 2.1,Heart Failure (HF) ,428.20,SYSTOLIC HRT FAILURE NOS
Table 2.1,Heart Failure (HF) ,428.21,AC SYSTOLIC HRT FAILURE
Table 2.1,Heart Failure (HF) ,428.22,CHR SYSTOLIC HRT FAILURE
Table 2.1,Heart Failure (HF) ,428.23,AC ON CHR SYST HRT FAIL
Table 2.1,Heart Failure (HF) ,428.30,DIASTOLC HRT FAILURE NOS
Table 2.1,Heart Failure (HF) ,428.31,AC DIASTOLIC HRT FAILURE
Table 2.1,Heart Failure (HF) ,428.32,CHR DIASTOLIC HRT FAIL
Table 2.1,Heart Failure (HF) ,428.33,AC ON CHR DIAST HRT FAIL
Table 2.1,Heart Failure (HF) ,428.40,SYST/DIAST HRT FAIL NOS
Table 2.1,Heart Failure (HF) ,428.41,AC SYST/DIASTOL HRT FAIL
Table 2.1,Heart Failure (HF) ,428.42,CHR SYST/DIASTL HRT FAIL
Table 2.1,Heart Failure (HF) ,428.43,AC/CHR SYST/DIA HRT FAIL
Table 2.1,Heart Failure (HF) ,428.9,HEART FAILURE NOS
Table 2.2,Left Ventricular Assistive Device (LVAD) and Heart Transplant,33.6,COMB HEART/LUNG TRANSPLA
Table 2.2,Left Ventricular Assistive Device (LVAD) and Heart Transplant,37.51,HEART TRANSPLANTATION
Table 2.2,Left Ventricular Assistive Device (LVAD) and Heart Transplant,37.52,IMP TOT INT BI HT RP SYS
Table 2.2,Left Ventricular Assistive Device (LVAD) and Heart Transplant,37.53,REPL/REP THR UNT TOT HRT
Table 2.2,Left Ventricular Assistive Device (LVAD) and Heart Transplant,37.54,REPL/REP OTH TOT HRT SYS
Table 2.2,Left Ventricular Assistive Device (LVAD) and Heart Transplant,37.60,IMP BIVN EXT HRT AST SYS
Table 2.2,Left Ventricular Assistive Device (LVAD) and Heart Transplant,37.62,INSRT NON-IMPL CIRC DEV
Table 2.2,Left Ventricular Assistive Device (LVAD) and Heart Transplant,37.63,REPAIR HEART ASSIST SYS
Table 2.2,Left Ventricular Assistive Device (LVAD) and Heart Transplant,37.65,IMP VENT EXT HRT AST SYS
Table 2.2,Left Ventricular Assistive Device (LVAD) and Heart Transplant,37.66,IMPLANTABLE HRT ASSIST
Table 2.2,Left Ventricular Assistive Device (LVAD) and Heart Transplant,37.68,PERCUTAN HRT ASSIST SYST
Table 3.1,Pneumonia (PN),481,PNEUMOCOCCAL PNEUMONIA
Table 3.1,Pneumonia (PN),482.0,K. PNEUMONIAE PNEUMONIA
Table 3.1,Pneumonia (PN),482.1,PSEUDOMONAL PNEUMONIA
Table 3.1,Pneumonia (PN),482.2,H.INFLUENZAE PNEUMONIA
Table 3.1,Pneumonia (PN),482.30,STREPTOCOCCAL PNEUMN NOS
Table 3.1,Pneumonia (PN),482.31,PNEUMONIA STRPTOCOCCUS A
Table 3.1,Pneumonia (PN),482.32,PNEUMONIA STRPTOCOCCUS B
Table 3.1,Pneumonia (PN),482.39,PNEUMONIA OTH STREP
Table 3.1,Pneumonia (PN),482.40,STAPHYLOCOCCAL PNEU NOS
Table 3.1,Pneumonia (PN),482.41,METH SUS PNEUM D/T STAPH
Table 3.1,Pneumonia (PN),482.42,METH RES PNEU D/T STAPH
Table 3.1,Pneumonia (PN),482.49,STAPH PNEUMONIA NEC
Table 3.1,Pneumonia (PN),482.82,PNEUMONIA E COLI
Table 3.1,Pneumonia (PN),482.83,PNEUMO OTH GRM-NEG BACT
Table 3.1,Pneumonia (PN),482.84,LEGIONNAIRES' DISEASE
Table 3.1,Pneumonia (PN),482.89,PNEUMONIA OTH SPCF BACT
Table 3.1,Pneumonia (PN),482.9,BACTERIAL PNEUMONIA NOS
Table 3.1,Pneumonia (PN),483.0,PNEU MYCPLSM PNEUMONIAE
Table 3.1,Pneumonia (PN),483.1,PNEUMONIA D/T CHLAMYDIA
Table 3.1,Pneumonia (PN),483.8,PNEUMON OTH SPEC ORGNSM
Table 3.1,Pneumonia (PN),485,BRONCHOPNEUMONIA ORG NOS
Table 3.1,Pneumonia (PN),486,"PNEUMONIA, ORGANISM NOS"
Table 3.2,Septicemia,038.0,STREPTOCOCCAL SEPTICEMIA
Table 3.2,Septicemia,038.10,STAPHYLCOCC SEPTICEM NOS
Table 3.2,Septicemia,038.11,METH SUSC STAPH AUR SEPT
Table 3.2,Septicemia,038.12,MRSA SEPTICEMIA
Table 3.2,Septicemia,038.19,STAPHYLCOCC SEPTICEM NEC
Table 3.2,Septicemia,038.2,PNEUMOCOCCAL SEPTICEMIA
Table 3.2,Septicemia,038.3,ANAEROBIC SEPTICEMIA
Table 3.2,Septicemia,038.40,GRAM-NEG SEPTICEMIA NOS
Table 3.2,Septicemia,038.41,H. INFLUENAE SEPTICEMIA
Table 3.2,Septicemia,038.42,E COLI SEPTICEMIA
Table 3.2,Septicemia,038.43,PSEUDOMONAS SEPTICEMIA
Table 3.2,Septicemia,038.44,SERRATIA SEPTICEMIA
Table 3.2,Septicemia,038.49,GRAM-NEG SEPTICEMIA NEC
Table 3.2,Septicemia,038.8,SEPTICEMIA NEC
Table 3.2,Septicemia,038.9,SEPTICEMIA NOS
Table 3.2,Septicemia,995.91,SEPSIS
Table 3.2,Septicemia,995.92,SEVERE SEPSIS
Table 3.3,Respiratory Failure,518.81,ACUTE RESPIRATRY FAILURE
Table 3.3,Respiratory Failure,518.84,ACUTE & CHRONC RESP FAIL
Table 3.4,Cystic Fibrosis ,277.00,CYSTIC FIBROSIS W/O ILEUS
Table 3.4,Cystic Fibrosis ,277.01,CYSTIC FIBROSIS W ILEUS
Table 3.4,Cystic Fibrosis ,277.02,CYSTIC FIBROSIS W PUL MAN
Table 3.4,Cystic Fibrosis ,277.03,CYSTIC FIBROSIS W GI MAN
Table 3.4,Cystic Fibrosis ,277.09,CYSTIC FIBROSIS NEC
Table 4.07,Cesarean Section,74.0,CLASSICAL C-SECTION
Table 4.07,Cesarean Section,74.1,LOW CERVICAL C-SECTION
Table 4.07,Cesarean Section,74.2,EXTRAPERITONEAL C-SECT
Table 4.07,Cesarean Section,74.4,CESAREAN SECTION NEC
Table 4.07,Cesarean Section,74.99,CESAREAN SECTION NOS
Table 5.01,Coronary Artery Bypass Graft (CABG),36.10,AORTOCORONARY BYPASS NOS
Table 5.01,Coronary Artery Bypass Graft (CABG),36.11,AORTOCOR BYPAS-1 COR ART
Table 5.01,Coronary Artery Bypass Graft (CABG),36.12,AORTOCOR BYPAS-2 COR ART
Table 5.01,Coronary Artery Bypass Graft (CABG),36.13,AORTOCOR BYPAS-3 COR ART
Table 5.01,Coronary Artery Bypass Graft (CABG),36.14,AORTCOR BYPAS-4+ COR ART
Table 5.01,Coronary Artery Bypass Graft (CABG),36.15,1 INT MAM-COR ART BYPASS
Table 5.01,Coronary Artery Bypass Graft (CABG),36.16,2 INT MAM-COR ART BYPASS
Table 5.01,Coronary Artery Bypass Graft (CABG),36.17,ABD-CORON ARTERY BYPASS
Table 5.01,Coronary Artery Bypass Graft (CABG),36.19,HRT REVAS BYPS ANAS NEC
Table 5.02,Other Cardiac Surgery ,35.10,OPEN VALVULOPLASTY NOS
Table 5.02,Other Cardiac Surgery ,35.11,OPN AORTIC VALVULOPLASTY
Table 5.02,Other Cardiac Surgery ,35.12,OPN MITRAL VALVULOPLASTY
Table 5.02,Other Cardiac Surgery ,35.13,OPN PULMON VALVULOPLASTY
Table 5.02,Other Cardiac Surgery ,35.14,OPN TRICUS VALVULOPLASTY
Table 5.02,Other Cardiac Surgery ,35.20,OPN/OTH REP HRT VLV NOS
Table 5.02,Other Cardiac Surgery ,35.21,OPN/OTH REP AORT VLV-TIS
Table 5.02,Other Cardiac Surgery ,35.22,OPN/OTH REP AORTIC VALVE
Table 5.02,Other Cardiac Surgery ,35.23,OPN/OTH REP MTRL VLV-TIS
Table 5.02,Other Cardiac Surgery ,35.24,OPN/OTH REP MITRAL VALVE
Table 5.02,Other Cardiac Surgery ,35.25,OPN/OTH REP PULM VLV-TIS
Table 5.02,Other Cardiac Surgery ,35.26,OPN/OTH REPL PUL VALVE
Table 5.02,Other Cardiac Surgery ,35.27,OPN/OTH REP TCSPD VLV-TS
Table 5.02,Other Cardiac Surgery ,35.28,OPN/OTH REPL TCSPD VALVE
Table 5.02,Other Cardiac Surgery ,35.31,PAPILLARY MUSCLE OPS
Table 5.02,Other Cardiac Surgery ,35.32,CHORDAE TENDINEAE OPS
Table 5.02,Other Cardiac Surgery ,35.33,ANNULOPLASTY
Table 5.02,Other Cardiac Surgery ,35.34,INFUNDIBULECTOMY
Table 5.02,Other Cardiac Surgery ,35.35,TRABECUL CARNEAE CORD OP
Table 5.02,Other Cardiac Surgery ,35.39,TISS ADJ TO VALV OPS NEC
Table 5.02,Other Cardiac Surgery ,35.42,CREATE SEPTAL DEFECT
Table 5.02,Other Cardiac Surgery ,35.50,PROSTH REP HRT SEPTA NOS
Table 5.02,Other Cardiac Surgery ,35.51,PROS REP ATRIAL DEF-OPN
Table 5.02,Other Cardiac Surgery ,35.53,PROS REP VENTRIC DEF-OPN
Table 5.02,Other Cardiac Surgery ,35.54,PROS REP ENDOCAR CUSHION
Table 5.02,Other Cardiac Surgery ,35.60,GRFT REPAIR HRT SEPT NOS
Table 5.02,Other Cardiac Surgery ,35.61,GRAFT REPAIR ATRIAL DEF
Table 5.02,Other Cardiac Surgery ,35.62,GRAFT REPAIR VENTRIC DEF
Table 5.02,Other Cardiac Surgery ,35.63,GRFT REP ENDOCAR CUSHION
Table 5.02,Other Cardiac Surgery ,35.70,HEART SEPTA REPAIR NOS
Table 5.02,Other Cardiac Surgery ,35.72,VENTR SEPTA DEF REP NEC
Table 5.02,Other Cardiac Surgery ,35.73,ENDOCAR CUSHION REP NEC
Table 5.02,Other Cardiac Surgery ,35.81,TOT REPAIR TETRAL FALLOT
Table 5.02,Other Cardiac Surgery ,35.82,TOTAL REPAIR OF TAPVC
Table 5.02,Other Cardiac Surgery ,35.83,TOT REP TRUNCUS ARTERIOS
Table 5.02,Other Cardiac Surgery ,35.84,TOT COR TRANSPOS GRT VES
Table 5.02,Other Cardiac Surgery ,35.91,INTERAT VEN RETRN TRANSP
Table 5.02,Other Cardiac Surgery ,35.92,CONDUIT RT VENT-PUL ART
Table 5.02,Other Cardiac Surgery ,35.93,CONDUIT LEFT VENTR-AORTA
Table 5.02,Other Cardiac Surgery ,35.94,CONDUIT ARTIUM-PULM ART
Table 5.02,Other Cardiac Surgery ,35.98,OTHER HEART SEPTA OPS
Table 5.02,Other Cardiac Surgery ,35.99,OTHER HEART VALVE OPS
Table 5.03,Colon Surgery,17.31,LAP MUL SEG RES LG INTES
Table 5.03,Colon Surgery,17.32,LAPAROSCOPIC CECECTOMY
Table 5.03,Colon Surgery,17.33,LAP RIGHT HEMICOLECTOMY
Table 5.03,Colon Surgery,17.34,LAP RES TRANSVERSE COLON
Table 5.03,Colon Surgery,17.35,LAP LEFT HEMICOLECTOMY
Table 5.03,Colon Surgery,17.36,LAP SIGMOIDECTOMY
Table 5.03,Colon Surgery,17.39,LAP PT EX LRG INTEST NEC
Table 5.03,Colon Surgery,45.00,INTESTINAL INCISION NOS
Table 5.03,Colon Surgery,45.03,LARGE BOWEL INCISION
Table 5.03,Colon Surgery,45.49,DESTRUC LG BOWEL LES NEC
Table 5.03,Colon Surgery,45.50,INTEST SEG ISOLAT NOS
Table 5.03,Colon Surgery,45.71,OPN MUL SEG LG INTES NEC
Table 5.03,Colon Surgery,45.72,OPEN CECECTOMY NEC
Table 5.03,Colon Surgery,45.73,OPN RT HEMICOLECTOMY NEC
Table 5.03,Colon Surgery,45.74,OPN TRANSV COLON RES NEC
Table 5.03,Colon Surgery,45.75,OPN LFT HEMICOLECTMY NEC
Table 5.03,Colon Surgery,45.76,OPEN SIGMOIDECTOMY NEC
Table 5.03,Colon Surgery,45.79,PRT LG INTES EXC NEC/NOS
Table 5.03,Colon Surgery,45.82,OP TOT INTRA-ABD COLECTOMY
Table 5.03,Colon Surgery,45.90,INTESTINAL ANASTOM NOS
